SKU,Display Name,Product Name,Price,Feature Group,Manufacturer
7S0113-240.CM3015N,Camden Corner Seat,Camden,839,Large Corner Seat,
7S0110-240.GG3015N,Grey Garden Corner Seat,Grey Garden,839,Large Corner Seat,
7S0114-240.SR3015N,Serenade Corner Seat,Serenade,839,Large Corner Seat,
7S0115-240.TO3015N,Thunder Oak Corner Seat,Thunder Oak,839,Large Corner Seat,
7S0001-220.WH2231N,White SS Corner Seat,White,839,Large Corner Seat,
7S0111-240.WR3015N,White Reef Corner Seat,White Reef,839,Large Corner Seat,
,Shampoo Shelf,,,,
,Shower Door,,,,
7G1310-250.CH6076N,"60"" Bypass w/Silk Glass BN",60in - Shower - Silk Celesta Bypass Shower 60x76 - BN,431,Shower Door,
7G3102-299.CH6676N,"Custom Barn Door 66"" MB","Custom Barn Door 66"" MB",541,Shower Door,
7G3105-299.CH7276N,"Custom Barn Door 72"" CH","Custom Barn Door 72"" CH",541,Shower Door,
7G3103-299.MB7276N,"Custom Barn Door 72"" MB","Custom Barn Door 72"" MB",541,Shower Door,
,Others,,,,
,INCLUDED in Contract Price,INCLUDED in Contract Price,0,Additional Work Required,
7C3000-220.WH0705N,White  - Soap Dish,White,0,Ceiling Panels,
7C3004-220.LN0705N,Linen Soap Dish,Linen,0,Ceiling Panels,
7C3003-220.RS0705N,Roman Stone Soap Dish,Roman Stone,0,Ceiling Panels,
7C3005-220.SV0705N,Silver Vein Soap Dish,Silver Vein,0,Ceiling Panels,
7C3008-220.VM0705N,Vienna Mist  - Soap Dish,Vienna Mist,756,Ceiling Panels,
,Shower Depth,Shower Depth,0,Custom Base Measurments,
,Threshold Width,Threshold Width,0,Custom Base Measurments,
7W0204-321.SV6096N,Silver Vein,Silver Vein 1 American Standard Flat,19007,Neo Wall,
,Project Notes,Project Notes,0,Project Notes,
,Standard Package,Standard Package,0,Shower Packages,
7T3004-320.LN0255N,Linen Acrylic Window Trim,Linen (Acrylic),750,Window Kit,
7T3003-320.RS0255N,Roman Stone  Window Kit,Roman Stone 12 x 18 (Acrylic),750,Window Kit,
7T3003-320.RS0255N,Roman Stone  Window Kit,Roman Stone 24 x 12 (Acrylic),750,Window Kit,
7T3005-320.SV0255N,Silver Vein Window Kit,Silver Vein (Acrylic),750,Window Kit,
7T3006-320.TS0255N,Tibur Stone Window Kit,Tibur Stone (Acrylic),750,Window Kit,
7T3008-320.VM0255N,Vienna Mist Window Kit,Vienna Mist (Acrylic),750,Window Kit,
,NOT INCLUDED in Price,NOT Included in Contract Price,0,Work Exlcuded,
Template-Product SKU list.filled,,,,,
WIT,,,,,Manufacturer
7K5000-390,7K5000-390.WH1129N,7K5000-390.WH1129N,,,
7K5002-390,7K5002-390.WH1730N,7K5002-390.WH1730N,,,
SR BATHING,DTC_CUSTOM,SR Bathing for CC Entry,,,
2848D1ACRL,DTC_CUSTOM,2848.D1A.Combo Right Lin,,,ASHS
