,SAP_ProductID,LongDescr,Manufacturer,,,,,,,
WIT,,,Manufacturer,,,,,,,
8012A80GRC,8012A80GRC-020,Bidet with Side Panel,American Standard - ASHS Exclusive,,,,,,,
WIT EXT KITS & PANELS,,,,,,,,,,
9EXT.L,9EXT.L,Tub Extender Linen,ASHS,,,,,,,
9EXT.W,9EXT.W,Tub Extender-White,ASHS,,,,,,,
9EXT-48GL,9EXT-48GL	,Extention Kit GLinen 2848,ASHS,,,,,,,
9EXT-48GW,9EXT-48GW,Extention Kit GWhite-2848,ASHS,,,,,,,
9EXT-52GL,9EXT-52GL,Extention Kit GLinen 3052,ASHS,,,,,,,
9EXT-52GW,9EXT-52GW,Extention Kit GWH -3052,ASHS,,,,,,,
9EXTOD30GL,9EXT-OD3052GL,OD3052 EXT KIT GL,ASHS,,,,,,,
9EXTOD30GW,9EXT-OD3052GW,OD3052 EXT KIT GW,ASHS,,,,,,,
9EXTOD32GL,9EXT-OD3252GL,OD3252 EXT KIT GL,ASHS,,,,,,,
9EXTOD32GW,9EXT-OD3252GW,OD3252 EXT KIT GW,ASHS,,,,,,,
WIT ACCESORRIES,,,,,,,,,,
9GB-24,9GB-24,"24"" Safety Bar Chrome",,,,,,,,
9HSB,9HSB,Hand Shower Grab Bar,,,,,,,,
9NRGRIP,9NRGRIP,Neck Rest,,,,,,,,
9TC-48W,9TC-48W,L Shaped Curt Rod Kit WH,,,,,,,,
WIT WALLS ,,,,,,,,,,
7T3000-320,7T3000-320.WH0255N,Window Kit 55 Col ART WH,,,,,,,,
7W0100-WH4567,7W0100-WH4567,CO.EX.125X45X67-WH (1),ASHS,,,,,,,
7W0101-LN4567,7W0101-LN4567,CO.EX.125X45X67-BC (1),ASHS,,,,,,,
7W0106-GM6048,7W0106-GM6048,WIT FLAT SURROUND SET-GRAY MARBLE,ASHS,,,,,,,
7W2014-TS6048,7W2014-TS6048,"WIT 12"" TILE SURROUND SET-TIBERSTONE",ASHS,,,,,,,
SENIOR SHOWERS,,,,,,,,,,
BATH REMODEL,,,,,,,,,,
BATHTUBS,,,,,,,,,,
2390202.011,2390202.020,Princeton Americast 6030 LH WH,ABG,,,,,,,
2391202.011,2391202.020,Princeton Americast 6030 RH WH,ABG,,,,,,,
2460002.011,2460002.020,Cambridge Americast LH WH 6032,ABG,,,,,,,
2461002.011,2461002.020,Cambridge Americast RH WH 6032,ABG,,,,,,,
a,,,,,,,,,,
7D4000550WH0015,7D4000-550.WH0015N,Waste & Overflow Kit WH,ASHS - Watco,,,,,,,
7D4001550LN0015,7D4001-550.LN0015N,Waste & Overflow Kit LN,ASHS - Watco,,,,,,,
