Source,ColA,ColB,ColC,ColD,ColE,ColF,ColG,ColH
DOC_CA_PSKUs,1053430A00,Ultra-Low Wide Beige,Ultra-Low Wide Beige,1645,Safety Tub Step,,,
DOC_CA_PSKUs,1053720200,Ultra-Low Wide White,Ultra-Low Wide White,1645,Safety Tub Step,,,
DOC_CA_PSKUs,1053460A00,Wide Beige,Wide Beige,1535,Safety Tub Step,,,
DOC_CA_PSKUs,1053700200,Deep Step Wide White,Wide White,1645,Safety Tub Step,,,
DOC_CA_PSKUs,1053690200,Wide White,Wide White a,1535,Safety Tub Step,,,
DOC_CA_PSKUs,,Shower Body,,,,,,
DOC_CA_PSKUs,,"48""",Custom 48in,0,Shower Body,,,
DOC_CA_PSKUs,,Custom,Custom B 60in 15X4,0,Shower Body,,,
DOC_CA_PSKUs,,Shower Pans,,,,,,
DOC_CA_PSKUs,7B5013-240.GL3636C,36 x 36 Grey,36 x 36 Ultra Low Base Center Drain Grey,0,Shower Pans,,,
DOC_CA_PSKUs,7B5022-240.GL4834C,48 x 34 Center - Grey,48 x 34 Ultra Low Base Center Drain Grey,0,Shower Pans,,,
DOC_CA_PSKUs,Trimslate Custom Base,Custom SMC White,Custom SMC,975,Shower Pans,,,
DOC_CA_PSKUs,7B2100-949.NA0000N,Custom Solid Surface White,Custom Solid Surface Shower Base,2284,Shower Pans,,,
DOC_CA_PSKUs,,Custom Solid Surface w/ Ramp,Custom SS with Ramp,2284,Shower Pans,,,
DOC_CA_PSKUs,,Shower Wall,,,,,,
DOC_CA_PSKUs,7W0103-GM4860,Grey Marble WIT 30in,Grey Marble 1 Moment Slab WIT,2455,Shower Wall,,,
DOC_CA_PSKUs,7W4103-345.WV6096N,White Reef Subway,White Venito 1 American Standard 10X4 1,21785,Shower Wall,,,
DOC_CA_PSKUs,,Small Corner Shelf,,,,,,
DOC_CA_PSKUs,,Vienna Mist Corner Shelf,Acrylic - Vienna Mist,756,Small Corner Shelf,,,
DOC_CA_PSKUs,,White Acrylic Corner Shelf,Acrylic - White,756,Small Corner Shelf,,,
DOC_CA_PSKUs,,White Reef Corner Shelf,Solid Surface - White Reef,839,Small Corner Shelf,,,
DOC_CA_PSKUs,,Shower Fixture,,,,,,
DOC_CA_PSKUs,,Spectra Plus Duo Legacy Bronze,Spectra Plus Duo Legacy Bronze,268,Shower Fixture,,,
DOC_CA_PSKUs,,Spectra Plus Duo Legacy Bronze,Spectra Plus Duo Legacy Bronze,268,Shower Fixture,,,
DOC_CA_PSKUs,,Spectra Plus Duo Matte Black,Spectra Plus Duo Matte Black,268,Shower Fixture,,,
DOC_CA_PSKUs,,Spectra Plus Duo CH,Spectra Plus Duo Polished Chrome,268,Shower Fixture,,,
DOC_CA_PSKUs,,Spectra Versa Legacy Bronze,Spectra Versa Legacy Bronze,506,Shower Fixture,,,
DOC_CA_PSKUs,,Studio Oil Rubbed Bronze,Studio Oil Rubbed Bronze,0,Shower Fixture,,,
DOC_CA_PSKUs,,Studio Stainless Steel,Studio Stainless Steel,0,Shower Fixture,,,
DOC_CA_PSKUs,,Shower Head,,,,,,
DOC_CA_PSKUs,,Hand Shower Kit,,,,,,
DOC_CA_PSKUs,,Handle Shower Valve,,,,,,
DOC_CA_PSKUs,,Flip-Up Seat,,,,,,
DOC_CA_PSKUs,,Large Corner Seat,,,,,,
DOC_CA_PSKUs,7S0113-240.CM3015N,Camden Corner Seat,Camden,839,Large Corner Seat,,,
DOC_CA_PSKUs,7S0110-240.GG3015N,Grey Garden Corner Seat,Grey Garden,839,Large Corner Seat,,,
DOC_CA_PSKUs,7S0114-240.SR3015N,Serenade Corner Seat,Serenade,839,Large Corner Seat,,,
DOC_CA_PSKUs,7S0115-240.TO3015N,Thunder Oak Corner Seat,Thunder Oak,839,Large Corner Seat,,,
DOC_CA_PSKUs,7S0001-220.WH2231N,White SS Corner Seat,White,839,Large Corner Seat,,,
DOC_CA_PSKUs,7S0111-240.WR3015N,White Reef Corner Seat,White Reef,839,Large Corner Seat,,,
DOC_CA_PSKUs,,Shampoo Shelf,,,,,,
DOC_CA_PSKUs,,Shower Door,,,,,,
DOC_CA_PSKUs,7G1310-250.CH6076N,"60"" Bypass w/Silk Glass BN",60in - Shower - Silk Celesta Bypass Shower 60x76 - BN,431,Shower Door,,,
DOC_CA_PSKUs,7G3102-299.CH6676N,"Custom Barn Door 66"" MB","Custom Barn Door 66"" MB",541,Shower Door,,,
DOC_CA_PSKUs,7G3105-299.CH7276N,"Custom Barn Door 72"" CH","Custom Barn Door 72"" CH",541,Shower Door,,,
DOC_CA_PSKUs,7G3103-299.MB7276N,"Custom Barn Door 72"" MB","Custom Barn Door 72"" MB",541,Shower Door,,,
DOC_CA_PSKUs,,Others,,,,,,
DOC_CA_PSKUs,,INCLUDED in Contract Price,INCLUDED in Contract Price,0,Additional Work Required,,,
DOC_CA_PSKUs,7C3000-220.WH0705N,White  - Soap Dish,White,0,Ceiling Panels,,,
DOC_CA_PSKUs,7C3004-220.LN0705N,Linen Soap Dish,Linen,0,Ceiling Panels,,,
DOC_CA_PSKUs,7C3003-220.RS0705N,Roman Stone Soap Dish,Roman Stone,0,Ceiling Panels,,,
DOC_CA_PSKUs,7C3005-220.SV0705N,Silver Vein Soap Dish,Silver Vein,0,Ceiling Panels,,,
DOC_CA_PSKUs,7C3008-220.VM0705N,Vienna Mist  - Soap Dish,Vienna Mist,756,Ceiling Panels,,,
DOC_CA_PSKUs,,Shower Depth,Shower Depth,0,Custom Base Measurments,,,
DOC_CA_PSKUs,,Threshold Width,Threshold Width,0,Custom Base Measurments,,,
DOC_CA_PSKUs,7W0204-321.SV6096N,Silver Vein,Silver Vein 1 American Standard Flat,19007,Neo Wall,,,
DOC_CA_PSKUs,,Project Notes,Project Notes,0,Project Notes,,,
DOC_CA_PSKUs,,Standard Package,Standard Package,0,Shower Packages,,,
DOC_CA_PSKUs,7T3004-320.LN0255N,Linen Acrylic Window Trim,Linen (Acrylic),750,Window Kit,,,
